transaction_id,customer_id,scenario_id,scenario_name,injected_flag,expected_risk,notes,scenario_group_id
TXN0000179359,CUS0006403,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0010
TXN0000243731,CUS0006403,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0010
TXN0000015087,CUS0006240,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0011
TXN0000108999,CUS0006240,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0011
TXN0000119315,CUS0006240,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0011
TXN0000156028,CUS0006240,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0011
TXN0000069486,CUS0006377,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0012
TXN0000138720,CUS0006377,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0012
TXN0000218179,CUS0006377,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0012
TXN0000248490,CUS0006377,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0012
TXN0000023135,CUS0000300,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0013
TXN0000136874,CUS0000300,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0013
TXN0000153394,CUS0000300,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0013
TXN0000190410,CUS0000300,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0013
TXN0000091095,CUS0000216,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0014
TXN0000110110,CUS0000216,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0014
TXN0000125495,CUS0000216,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0014
TXN0000233290,CUS0000216,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0014
TXN0000045746,CUS0003705,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0015
TXN0000063219,CUS0003705,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0015
TXN0000187565,CUS0003705,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0015
TXN0000188519,CUS0003705,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0015
TXN0000019159,CUS0007280,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0016
TXN0000054040,CUS0007280,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0016
TXN0000071611,CUS0007280,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0016
TXN0000108002,CUS0007280,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0016
TXN0000080521,CUS0008721,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0017
TXN0000138435,CUS0008721,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0017
TXN0000194977,CUS0008721,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0017
TXN0000205757,CUS0008721,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0017
TXN0000034573,CUS0003099,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0018
TXN0000084216,CUS0003099,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0018
TXN0000084779,CUS0003099,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0018
TXN0000211163,CUS0003099,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0018
TXN0000008557,CUS0009904,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0019
TXN0000053574,CUS0009904,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0019
TXN0000234281,CUS0009904,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0019
TXN0000245470,CUS0009904,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0019
TXN0000003040,CUS0001193,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0020
TXN0000017846,CUS0001193,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0020
TXN0000038589,CUS0001193,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0020
TXN0000208161,CUS0001193,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0020
TXN0000012282,CUS0005033,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0021
TXN0000037415,CUS0005033,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0021
TXN0000040979,CUS0005033,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0021
TXN0000118802,CUS0005033,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0021
TXN0000076763,CUS0004529,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0022
TXN0000153347,CUS0004529,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0022
TXN0000193980,CUS0004529,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0022
TXN0000230199,CUS0004529,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0022
TXN0000032320,CUS0000482,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0023
TXN0000077503,CUS0000482,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0023
TXN0000152839,CUS0000482,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0023
TXN0000216004,CUS0000482,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0023
TXN0000036243,CUS0000969,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0024
TXN0000090856,CUS0000969,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0024
TXN0000098747,CUS0000969,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0024
TXN0000112480,CUS0000969,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0024
TXN0000026297,CUS0000421,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0025
TXN0000061454,CUS0000421,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0025
TXN0000213318,CUS0000421,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0025
TXN0000223018,CUS0000421,AML-S01,Structuring / Smurfing,1,High,Four sub-threshold outbound transactions by one sender within the configured window.,AML-S01-GRP-0025
TXN0000228457,CUS0006268,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0001
TXN0000045345,CUS0003022,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0002
TXN0000062423,CUS0006261,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0003
TXN0000041355,CUS0004699,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0004
TXN0000113220,CUS0002755,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0005
TXN0000068096,CUS0000658,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0006
TXN0000053187,CUS0005822,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0007
TXN0000081965,CUS0000899,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0008
TXN0000048712,CUS0007226,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0009
TXN0000144292,CUS0004046,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0010
TXN0000119980,CUS0009564,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0011
TXN0000200415,CUS0005488,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0012
TXN0000062189,CUS0003165,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0013
TXN0000120877,CUS0002318,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0014
TXN0000096072,CUS0000863,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0015
TXN0000020723,CUS0007011,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0016
TXN0000064595,CUS0000043,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0017
TXN0000103902,CUS0004259,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0018
TXN0000106941,CUS0001003,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0019
TXN0000028766,CUS0008215,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0020
TXN0000057905,CUS0004803,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0021
TXN0000106691,CUS0004271,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0022
TXN0000168496,CUS0008609,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0023
TXN0000033932,CUS0001181,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0024
TXN0000054635,CUS0006688,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0025
TXN0000100836,CUS0003383,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0026
TXN0000031527,CUS0003021,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0027
TXN0000126302,CUS0003143,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0028
TXN0000203972,CUS0005238,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0029
TXN0000166925,CUS0009655,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0030
TXN0000018786,CUS0000562,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0031
TXN0000172802,CUS0002567,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0032
TXN0000039143,CUS0001490,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0033
TXN0000225460,CUS0009967,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0034
TXN0000119750,CUS0002843,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0035
TXN0000052137,CUS0002231,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0036
TXN0000083199,CUS0003944,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0037
TXN0000087664,CUS0006349,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0038
TXN0000060855,CUS0009352,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0039
TXN0000052377,CUS0004284,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0040
TXN0000132309,CUS0000818,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0041
TXN0000182791,CUS0006235,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0042
TXN0000013550,CUS0005955,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0043
TXN0000214858,CUS0002041,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0044
TXN0000078616,CUS0002753,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0045
TXN0000064734,CUS0007081,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0046
TXN0000199584,CUS0006755,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0047
TXN0000248488,CUS0007179,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0048
TXN0000072018,CUS0005565,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0049
TXN0000020630,CUS0005002,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0050
TXN0000120201,CUS0007567,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0051
TXN0000021797,CUS0000748,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0052
TXN0000222163,CUS0002971,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0053
TXN0000197991,CUS0004465,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0054
TXN0000055544,CUS0008299,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0055
TXN0000082313,CUS0000747,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0056
TXN0000059335,CUS0009524,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0057
TXN0000086924,CUS0000927,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0058
TXN0000128106,CUS0004310,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0059
TXN0000065380,CUS0008450,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0060
TXN0000174608,CUS0002106,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0061
TXN0000067369,CUS0007407,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0062
TXN0000231782,CUS0006107,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0063
TXN0000122382,CUS0005760,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0064
TXN0000090671,CUS0001982,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0065
TXN0000010527,CUS0009523,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0066
TXN0000124087,CUS0003565,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0067
TXN0000100070,CUS0002434,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0068
TXN0000086851,CUS0004950,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0069
TXN0000028872,CUS0006241,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0070
TXN0000032362,CUS0001132,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0071
TXN0000114921,CUS0004415,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0072
TXN0000105385,CUS0001237,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0073
TXN0000056208,CUS0002093,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0074
TXN0000108754,CUS0007783,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0075
TXN0000211234,CUS0008340,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0076
TXN0000177233,CUS0000742,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0077
TXN0000147832,CUS0003986,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0078
TXN0000106428,CUS0008614,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0079
TXN0000075339,CUS0009183,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0080
TXN0000059159,CUS0007576,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0081
TXN0000083857,CUS0009722,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0082
TXN0000024964,CUS0007108,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0083
TXN0000179708,CUS0004053,AML-S02,Sudden Transaction Spike,1,High,Current amount exceeds the account's strictly prior 30-day amount baseline.,AML-S02-GRP-0084
